Player Name,Course Name,Year Played,Date Completed,Round Score,Round SG Total,Round SG App,Round SG Arg,Round SG Putt,Round Driving Distance,Round Driving Accuracy
"Henley, Russell",Torrey Pines (South),2021,2021-06-20,71,1.408,1.19,0.36,0.99,294.2,0.429
"Henley, Russell",Torrey Pines (South),2021,2021-06-20,76,-2.831,0.88,-0.06,-2.61,291.3,0.429
"Streelman, Kevin",Torrey Pines (South),2021,2021-06-20,71,2.718,2.07,1.09,0.64,292.2,0.286
"Streelman, Kevin",Torrey Pines (South),2021,2021-06-20,69,4.787,0.41,2.0,1.73,296.9,0.643
"Streelman, Kevin",Torrey Pines (South),2021,2021-06-20,72,0.408,1.88,-1.02,-0.72,299.7,0.571
"Streelman, Kevin",Torrey Pines (South),2021,2021-06-20,73,0.169,-1.31,1.34,1.16,291.0,0.429
"Cantlay, Patrick",Torrey Pines (South),2021,2021-06-20,70,3.718,-1.91,2.05,2.24,310.4,0.571
"Cantlay, Patrick",Torrey Pines (South),2021,2021-06-20,75,-1.213,-1.65,0.6,-0.9,313.3,0.429
"Cantlay, Patrick",Torrey Pines (South),2021,2021-06-20,71,1.408,1.33,-0.09,0.12,306.0,0.5
"Cantlay, Patrick",Torrey Pines (South),2021,2021-06-20,69,4.169,1.48,0.8,2.17,307.8,0.286
"Hughes, Mackenzie",Torrey Pines (South),2021,2021-06-20,73,0.718,-0.17,0.37,1.53,300.5,0.286
"Hughes, Mackenzie",Torrey Pines (South),2021,2021-06-20,67,6.787,3.19,1.91,2.58,294.2,0.286
"Hughes, Mackenzie",Torrey Pines (South),2021,2021-06-20,68,4.408,1.77,1.01,0.99,307.6,0.643
"Hughes, Mackenzie",Torrey Pines (South),2021,2021-06-20,77,-3.831,-1.04,-1.31,-1.44,300.9,0.5
"Wolff, Matthew",Torrey Pines (South),2021,2021-06-20,70,3.718,2.73,-0.95,0.43,319.7,0.429
"Wolff, Matthew",Torrey Pines (South),2021,2021-06-20,68,5.787,1.6,0.1,2.1,328.5,0.429
"Wolff, Matthew",Torrey Pines (South),2021,2021-06-20,73,-0.592,-1.79,-0.47,1.65,321.6,0.214
"Wolff, Matthew",Torrey Pines (South),2021,2021-06-20,74,-0.831,-0.41,-2.11,0.76,320.9,0.429
"Garcia, Sergio",Torrey Pines (South),2021,2021-06-20,71,2.718,1.17,0.71,-0.06,306.1,0.643
"Garcia, Sergio",Torrey Pines (South),2021,2021-06-20,74,-0.213,1.21,-0.63,-1.46,308.7,0.571
"Garcia, Sergio",Torrey Pines (South),2021,2021-06-20,73,-0.592,-0.64,-1.55,1.2,313.7,0.429
"Garcia, Sergio",Torrey Pines (South),2021,2021-06-20,68,5.169,3.49,-0.12,2.62,314.2,0.429
"Schwartzel, Charl",Torrey Pines (South),2021,2021-06-20,71,2.718,1.37,0.22,0.64,307.2,0.5
"Schwartzel, Charl",Torrey Pines (South),2021,2021-06-20,74,-0.213,0.43,0.11,0.2,300.4,0.214
"Schwartzel, Charl",Torrey Pines (South),2021,2021-06-20,71,1.408,-1.57,2.17,0.38,305.5,0.571
"Schwartzel, Charl",Torrey Pines (South),2021,2021-06-20,70,3.169,0.1,2.81,0.11,304.2,0.571
"Harman, Brian",Torrey Pines (South),2021,2021-06-20,72,1.718,1.38,1.4,0.66,286.7,0.214
"Harman, Brian",Torrey Pines (South),2021,2021-06-20,71,2.787,-2.03,3.03,0.98,298.1,0.714
"Harman, Brian",Torrey Pines (South),2021,2021-06-20,71,1.408,1.94,0.62,-2.05,300.7,0.786
"Harman, Brian",Torrey Pines (South),2021,2021-06-20,72,1.169,1.57,-1.24,1.06,296.8,0.643
"Johnson, Dustin",Torrey Pines (South),2021,2021-06-20,71,2.718,0.96,0.36,0.29,314.9,0.357
"Johnson, Dustin",Torrey Pines (South),2021,2021-06-20,73,0.787,1.78,-0.33,-0.71,311.0,0.286
"Johnson, Dustin",Torrey Pines (South),2021,2021-06-20,68,4.408,-0.49,0.17,4.79,305.3,0.357
"Johnson, Dustin",Torrey Pines (South),2021,2021-06-20,74,-0.831,0.21,-0.92,-0.64,305.6,0.5
"Thomas, Justin",Torrey Pines (South),2021,2021-06-20,73,0.718,-0.29,-0.8,1.48,309.6,0.357
"Thomas, Justin",Torrey Pines (South),2021,2021-06-20,69,4.787,-0.47,2.45,2.0,311.1,0.429
"Thomas, Justin",Torrey Pines (South),2021,2021-06-20,71,1.408,1.12,0.37,-0.27,311.7,0.429
"Thomas, Justin",Torrey Pines (South),2021,2021-06-20,73,0.169,-0.26,0.77,1.83,307.8,0.429
"Spieth, Jordan",Torrey Pines (South),2021,2021-06-20,77,-3.282,-1.32,-1.54,0.42,298.5,0.286
"Spieth, Jordan",Torrey Pines (South),2021,2021-06-20,69,4.787,1.24,1.69,1.58,305.2,0.5
"Spieth, Jordan",Torrey Pines (South),2021,2021-06-20,68,4.408,5.87,-0.19,-1.55,307.2,0.571
"Spieth, Jordan",Torrey Pines (South),2021,2021-06-20,72,1.169,-0.58,0.33,0.77,304.0,0.571
"Reed, Patrick",Torrey Pines (South),2021,2021-06-20,72,1.718,-0.66,2.06,0.33,294.8,0.5
"Reed, Patrick",Torrey Pines (South),2021,2021-06-20,73,0.787,-0.57,0.98,0.34,298.0,0.571
"Reed, Patrick",Torrey Pines (South),2021,2021-06-20,74,-1.592,1.56,-0.09,-1.02,294.1,0.5
"Reed, Patrick",Torrey Pines (South),2021,2021-06-20,67,6.169,0.76,0.66,2.69,309.8,0.857
"Kaymer, Martin",Torrey Pines (South),2021,2021-06-20,77,-3.282,0.3,-0.14,-1.61,294.4,0.214
"Kaymer, Martin",Torrey Pines (South),2021,2021-06-20,68,5.787,2.71,-0.32,3.25,292.7,0.571
"Kaymer, Martin",Torrey Pines (South),2021,2021-06-20,69,3.408,2.6,-0.33,2.45,286.8,0.5
"Kaymer, Martin",Torrey Pines (South),2021,2021-06-20,73,0.169,1.8,0.44,-1.33,292.7,0.5
"Matsuyama, Hideki",Torrey Pines (South),2021,2021-06-20,69,4.718,2.89,0.9,0.48,303.8,0.5
"Matsuyama, Hideki",Torrey Pines (South),2021,2021-06-20,76,-2.213,0.36,-0.8,-1.21,299.8,0.429
"Matsuyama, Hideki",Torrey Pines (South),2021,2021-06-20,74,-1.592,1.01,-0.02,-1.59,302.2,0.571
"Matsuyama, Hideki",Torrey Pines (South),2021,2021-06-20,68,5.169,0.69,0.79,3.04,303.7,0.643
"Baker, Chris",Torrey Pines (South),2021,2021-06-20,74,-0.282,0.38,-2.0,2.4,296.5,0.429
"Baker, Chris",Torrey Pines (South),2021,2021-06-20,71,2.787,1.17,0.23,0.84,300.2,0.643
"Baker, Chris",Torrey Pines (South),2021,2021-06-20,69,3.408,0.76,-1.13,3.96,296.9,0.5
"Baker, Chris",Torrey Pines (South),2021,2021-06-20,73,0.169,0.3,1.91,-0.7,297.5,0.286
"Hoshino, Rikuya",Torrey Pines (South),2021,2021-06-20,69,4.718,4.2,-0.14,0.62,300.0,0.5
"Hoshino, Rikuya",Torrey Pines (South),2021,2021-06-20,74,-0.213,1.03,-0.78,0.59,297.1,0.357
"Hoshino, Rikuya",Torrey Pines (South),2021,2021-06-20,73,-0.592,-0.37,-1.33,-0.12,313.4,0.643
"Hoshino, Rikuya",Torrey Pines (South),2021,2021-06-20,71,2.169,2.93,0.8,-0.08,310.1,0.571
"DeChambeau, Bryson",Torrey Pines (South),2021,2021-06-20,73,0.718,-1.56,-1.65,1.91,333.9,0.571
"DeChambeau, Bryson",Torrey Pines (South),2021,2021-06-20,69,4.787,2.36,-1.66,2.38,327.8,0.571
"DeChambeau, Bryson",Torrey Pines (South),2021,2021-06-20,68,4.408,2.63,-0.61,1.94,334.7,0.357
"DeChambeau, Bryson",Torrey Pines (South),2021,2021-06-20,77,-3.831,1.79,-4.08,-0.92,321.1,0.214
"Rodgers, Patrick",Torrey Pines (South),2021,2021-06-20,70,3.718,-0.55,-1.51,4.25,319.3,0.714
"Rodgers, Patrick",Torrey Pines (South),2021,2021-06-20,71,2.787,1.9,-0.02,0.5,320.7,0.571
"Rodgers, Patrick",Torrey Pines (South),2021,2021-06-20,77,-4.592,-3.01,-2.12,-0.16,314.2,0.429
"Rodgers, Patrick",Torrey Pines (South),2021,2021-06-20,70,3.169,0.28,0.58,1.93,322.3,0.286
"Niemann, Joaquin",Torrey Pines (South),2021,2021-06-20,75,-1.282,-1.25,-1.77,1.09,314.6,0.429
"Niemann, Joaquin",Torrey Pines (South),2021,2021-06-20,69,4.787,2.87,0.44,0.01,318.9,0.643
"Niemann, Joaquin",Torrey Pines (South),2021,2021-06-20,71,1.408,2.12,0.0,-1.38,317.7,0.429
"Niemann, Joaquin",Torrey Pines (South),2021,2021-06-20,73,0.169,-0.48,0.39,-0.62,317.9,0.5
"Bezuidenhout, Christiaan",Torrey Pines (South),2021,2021-06-20,72,1.718,-1.04,1.78,1.29,290.4,0.429
"Bezuidenhout, Christiaan",Torrey Pines (South),2021,2021-06-20,70,3.787,2.01,-0.69,2.05,299.4,0.571
